batter_name,age,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,GB,SO,GDP,BU,fly,year
김선빈,29.0,127.0,492.0,424.0,73.0,125.0,17.0,2.0,4.0,158.0,49.0,4.0,1.0,48.0,9.0,1.0,42.0,10.0,6.0,5.0,2018
김선빈,30.0,121.0,447.0,394.0,55.0,115.0,22.0,0.0,3.0,146.0,40.0,5.0,4.0,43.0,1.0,0.0,26.0,7.0,5.0,4.0,2019
안치홍,19.0,123.0,415.0,371.0,53.0,87.0,13.0,4.0,14.0,150.0,38.0,8.0,5.0,32.0,2.0,1.0,103.0,10.0,7.0,3.0,2009
안치홍,20.0,133.0,537.0,461.0,79.0,134.0,21.0,3.0,8.0,185.0,50.0,18.0,5.0,49.0,7.0,1.0,96.0,12.0,16.0,4.0,2010
안치홍,21.0,115.0,433.0,378.0,54.0,119.0,21.0,4.0,5.0,163.0,46.0,9.0,4.0,33.0,3.0,1.0,55.0,13.0,17.0,2.0,2011
안치홍,22.0,132.0,558.0,489.0,60.0,141.0,31.0,2.0,3.0,185.0,64.0,20.0,3.0,42.0,6.0,4.0,74.0,12.0,14.0,7.0,2012
안치홍,23.0,118.0,484.0,414.0,56.0,103.0,15.0,0.0,3.0,127.0,39.0,16.0,1.0,52.0,6.0,0.0,74.0,13.0,7.0,5.0,2013
안치홍,24.0,126.0,479.0,434.0,65.0,147.0,31.0,2.0,18.0,236.0,88.0,19.0,6.0,33.0,6.0,1.0,65.0,11.0,2.0,4.0,2014
안치홍,26.0,10.0,43.0,36.0,3.0,8.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,5.0,0.0,0.0,8.0,2.0,1.0,1.0,2016
안치홍,27.0,132.0,545.0,487.0,95.0,154.0,29.0,2.0,21.0,250.0,93.0,7.0,0.0,43.0,4.0,1.0,70.0,19.0,6.0,5.0,2017
안치홍,28.0,130.0,549.0,494.0,88.0,169.0,38.0,1.0,23.0,278.0,118.0,5.0,1.0,36.0,10.0,1.0,57.0,13.0,0.0,9.0,2018
안치홍,29.0,105.0,408.0,362.0,45.0,114.0,18.0,1.0,5.0,149.0,49.0,4.0,2.0,40.0,1.0,1.0,37.0,9.0,0.0,5.0,2019
황대인,19.0,22.0,44.0,44.0,3.0,12.0,2.0,0.0,2.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,2015
황대인,20.0,4.0,7.0,7.0,1.0,3.0,2.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2016
황대인,23.0,12.0,28.0,25.0,0.0,5.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,0.0,0.0,0.0,2019
이창진,23.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2014
이창진,24.0,13.0,20.0,19.0,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,2015
이창진,27.0,20.0,30.0,29.0,5.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2018
이창진,28.0,133.0,470.0,400.0,57.0,108.0,25.0,1.0,6.0,153.0,48.0,8.0,8.0,57.0,4.0,0.0,92.0,8.0,4.0,5.0,2019
김주찬,19.0,60.0,52.0,48.0,22.0,15.0,3.0,2.0,0.0,22.0,5.0,7.0,2.0,3.0,1.0,0.0,16.0,0.0,0.0,0.0,2000
